City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,terrace,54.5163,-128.6035,27.95,47,75,6.17,CA,1688946251
296,fall river,41.7015,-71.1551,24.42,84,100,3.09,US,1688946252
297,luba,3.4568,8.5547,23.94,88,83,3.77,GQ,1688946252
298,guapiles,10.2159,-83.7866,28.18,97,99,0.06,CR,1688946252
299,arnprior,45.4334,-76.3494,24.88,75,100,1.52,CA,1688946252
300,fisterra,42.9049,-9.2629,14.86,82,1,0.88,ES,1688946253
301,santa marta de tormes,40.9506,-5.6272,19.43,46,0,1.79,ES,1688946253
302,punta arenas,-53.15,-70.9167,2.06,80,0,5.14,CL,1688946209
303,mashiko,36.4667,140.1,30.77,77,64,1.3,JP,1688946253
304,saint croix,17.7397,-64.7388,28.25,86,20,6.17,VI,1688946254
305,yangquan,37.8575,113.5633,29.92,29,65,1.58,CN,1688946254
306,deir ez-zor,35.3359,40.1408,28.75,44,0,7.93,SY,1688946254
307,rio bueno,-40.3167,-72.9667,6.08,98,86,1.05,CL,1688946254
308,maintirano,-18.0667,44.0167,20.95,88,22,2.98,MG,1688946254
309,vancouver,49.2497,-123.1193,26.83,52,20,6.17,CA,1688946128
310,eirunepe,-6.6603,-69.8736,24.11,84,19,1.36,BR,1688946255
311,sena madureira,-9.0656,-68.6569,25.69,69,15,0.67,BR,1688946256
312,kisangani,0.5167,25.2,21.74,87,67,0.87,CD,1688946256
313,santa vitoria,-18.8386,-50.1214,23.5,37,1,1.74,BR,1688946257
314,bikenibeu village,1.3673,173.1241,25.98,94,100,3.6,KI,1688946068
315,petropavlovka,50.6114,105.3196,19.53,71,35,0.62,RU,1688946258
316,juneau,58.3019,-134.4197,21.0,100,40,5.66,US,1688946258
317,rio grande,-32.035,-52.0986,15.53,87,67,4.05,BR,1688946258
318,vila franca do campo,37.7167,-25.4333,21.23,90,90,1.81,PT,1688946259
319,kaga bandoro,6.9896,19.1874,20.77,96,59,0.87,CF,1688946259
320,hadibu,12.65,54.0333,25.29,78,28,8.18,YE,1688946259
321,acapulco de juarez,16.8634,-99.8901,28.84,76,97,3.0,MX,1688946140
322,kafir qala,34.6667,61.0667,24.86,24,0,3.97,AF,1688946259
323,mersing,2.4312,103.8405,22.95,100,20,2.06,MY,1688946260
324,novodvinsk,64.4165,40.8122,4.76,87,88,2.53,RU,1688946246
325,el alto,-4.2714,-81.2147,22.81,81,15,7.49,PE,1688946261
326,kavaratti,10.5669,72.642,27.73,78,100,7.2,IN,1688945983
327,mountain home,43.133,-115.6912,36.75,15,20,2.06,US,1688946261
328,taoudenni,22.6783,-3.9836,39.4,10,5,5.33,ML,1688946261
329,salalah,17.0151,54.0924,26.05,100,100,1.54,OM,1688946262
330,tralee,52.2704,-9.7026,12.86,85,91,2.27,IE,1688946262
331,saint-francois,46.4154,3.9054,24.69,69,0,2.57,FR,1688946262
332,iron mountain,45.8202,-88.066,25.9,48,0,5.14,US,1688946262
333,altay,47.8667,88.1167,17.36,62,76,0.59,CN,1688946262
334,yarmouth,41.7057,-70.2286,24.26,90,100,2.57,US,1688946263
335,sisimiut,66.9395,-53.6735,8.36,85,100,1.16,GL,1688946263
336,ciudad lazaro cardenas,17.9583,-102.2,29.65,72,60,4.47,MX,1688946138
337,yemetsk,63.4721,41.7941,7.22,87,94,2.89,RU,1688946263
338,kargasok,59.0556,80.8572,15.59,82,22,2.22,RU,1688946263
339,kohlu,29.8962,69.252,26.04,65,2,0.72,PK,1688946264
340,chui,-33.6971,-53.4616,13.67,86,99,2.39,UY,1688946264
341,jalalabad,34.4265,70.4515,29.1,51,83,1.14,AF,1688946264
342,alenquer,-1.9417,-54.7383,27.04,68,59,1.77,BR,1688946265
343,vilyuchinsk,52.9306,158.4028,15.15,96,100,1.68,RU,1688946265
344,los altos,37.3852,-122.1141,25.14,64,0,7.2,US,1688946265
345,plastun,44.7561,136.2939,24.05,61,99,1.85,RU,1688946265
346,sinabang,2.4803,96.3801,25.74,83,100,2.3,ID,1688946265
347,khamis mushait,18.3064,42.7292,21.34,52,0,0.0,SA,1688946266
348,lincoln,40.8,-96.667,28.4,52,20,4.12,US,1688946240
349,jewar,28.1333,77.55,26.28,90,100,2.07,IN,1688946266
